category,item,availability,role,notes,branch_state
ACERM cache,ammo_can_81mm_acerm_full,100%,ACERM reserve can,,81mm branch
ACERM cache,ammo_can_81mm_acerm_full,100%,ACERM reserve can,,stack-drones merged
ACERM cache,ammo_tube_81mm_acerm_full,"60%, 1-2",ready ACERM tubes,,81mm branch
ACERM cache,ammo_tube_81mm_acerm_full,"60%, 1-2",ready ACERM tubes,,stack-drones merged
ACERM cache,AN/PEQ-1C SOFLAM,"100%, 80-250 charges",laser designation/rangefinding,5 charges / 10 s designation,81mm branch
ACERM cache,AN/PEQ-1C SOFLAM,"100%, 80-250 charges",laser designation/rangefinding,5 charges / 10 s designation,stack-drones merged
ACERM cache,OKSI 81mm PGK,"80%, 1-3",converts M821A2/M889A1 HE,requires mortar proficiency,81mm branch
ACERM cache,OKSI 81mm PGK,"80%, 1-3",converts M821A2/M889A1 HE,requires mortar proficiency,stack-drones merged
ACERM cache,medium battery cell,"70%, 1-3",SOFLAM power,,81mm branch
ACERM cache,medium battery cell,"70%, 1-3",SOFLAM power,,stack-drones merged
OKSI kit,M821A2 81mm HE -> OKSI M821A2,manual use,guided fixed-tile round,drone designation required,81mm branch
OKSI kit,M821A2 81mm HE -> OKSI M821A2,manual use,guided fixed-tile round,drone designation required,stack-drones merged
OKSI kit,M889A1 81mm HE -> OKSI M889A1,manual use,guided fixed-tile round,drone designation required,81mm branch
OKSI kit,M889A1 81mm HE -> OKSI M889A1,manual use,guided fixed-tile round,drone designation required,stack-drones merged
SOFLAM,medium battery,magazine well,field-rugged designator,also acts as binocular/rangefinder,81mm branch
SOFLAM,medium battery,magazine well,field-rugged designator,also acts as binocular/rangefinder,stack-drones merged
laser rangefinder,light/ultralight battery,magazine well,rangefinder only,2000 m rangefinder regime,81mm branch
laser rangefinder,light/ultralight battery,magazine well,rangefinder only,2000 m rangefinder regime,stack-drones merged
M252 crew,primary + up to 2 assistants,activity state,half fire delay per assistant,primary owns mortar assignment,81mm branch
M252 crew,primary + up to 2 assistants,activity state,half fire delay per assistant,primary owns mortar assignment,stack-drones merged
M224 crew,primary + up to 1 assistant,activity state,half fire delay with assistant,primary owns mortar assignment,81mm branch
M224 crew,primary + up to 1 assistant,activity state,half fire delay with assistant,primary owns mortar assignment,stack-drones merged
drone designation,scout or baba yaga,after scout feed,fixed tile designation,OKSI/alternate mortar/FPV/drop target,81mm branch
drone designation,scout or baba yaga,after scout feed,fixed tile designation,OKSI/alternate mortar/FPV/drop target,stack-drones merged
