mortar,primary_skill,crew,secondary_skill,effective_skill,skill_multiplier,fire_delay_s,rate_multiplier,max_secondary_crew
M224 60mm,4,0,,4.0,3.0,10,1.0,1
M224 60mm,4,1,4,4.6475800154489,2.7841399948503662,5,2.0,1
M224 60mm,4,1,8,5.04618667906767,2.6512711069774433,5,2.0,1
M224 60mm,4,1,10,5.04618667906767,2.6512711069774433,5,2.0,1
M224 60mm,6,0,,6.0,2.333333333333333,10,1.0,1
M224 60mm,6,1,4,6.44980619863884,2.1833979337870533,5,2.0,1
M224 60mm,6,1,8,7.569280018601505,1.8102399937994982,5,2.0,1
M224 60mm,6,1,10,7.569280018601505,1.8102399937994982,5,2.0,1
M224 60mm,8,0,,8.0,1.6666666666666665,10,1.0,1
M224 60mm,8,1,4,8.342661445845684,1.5524461847181055,5,2.0,1
M224 60mm,8,1,8,9.2951600308978,1.2349466563673996,5,2.0,1
M224 60mm,8,1,10,9.9498743710662,1.0167085429779334,5,2.0,1
M224 60mm,10,0,,10.0,1.0,10,1.0,1
M224 60mm,10,1,4,10.0,1.0,5,2.0,1
M224 60mm,10,1,8,10.0,1.0,5,2.0,1
M224 60mm,10,1,10,10.0,1.0,5,2.0,1
M252 81mm,4,0,,4.0,3.0,20,1.0,2
M252 81mm,4,1,4,4.6475800154489,2.7841399948503662,10,2.0,2
M252 81mm,4,1,8,5.04618667906767,2.6512711069774433,10,2.0,2
M252 81mm,4,1,10,5.04618667906767,2.6512711069774433,10,2.0,2
M252 81mm,4,2,4,5.215361924162119,2.594879358612627,5,4.0,2
M252 81mm,4,2,8,5.9099915397570575,2.363336153414314,5,4.0,2
M252 81mm,4,2,10,5.9099915397570575,2.363336153414314,5,4.0,2
M252 81mm,6,0,,6.0,2.333333333333333,20,1.0,2
M252 81mm,6,1,4,6.44980619863884,2.1833979337870533,10,2.0,2
M252 81mm,6,1,8,7.569280018601505,1.8102399937994982,10,2.0,2
M252 81mm,6,1,10,7.569280018601505,1.8102399937994982,10,2.0,2
M252 81mm,6,2,4,6.870225614927067,2.0432581283576443,5,4.0,2
M252 81mm,6,2,8,8.864987309635586,1.3783375634548047,5,4.0,2
M252 81mm,6,2,10,8.864987309635586,1.3783375634548047,5,4.0,2
M252 81mm,8,0,,8.0,1.6666666666666665,20,1.0,2
M252 81mm,8,1,4,8.342661445845684,1.5524461847181055,10,2.0,2
M252 81mm,8,1,8,9.2951600308978,1.2349466563673996,10,2.0,2
M252 81mm,8,1,10,9.9498743710662,1.0167085429779334,10,2.0,2
M252 81mm,8,2,4,8.67179335547152,1.44273554817616,5,4.0,2
M252 81mm,8,2,8,10.0,1.0,5,4.0,2
M252 81mm,8,2,10,10.0,1.0,5,4.0,2
M252 81mm,10,0,,10.0,1.0,20,1.0,2
M252 81mm,10,1,4,10.0,1.0,10,2.0,2
M252 81mm,10,1,8,10.0,1.0,10,2.0,2
M252 81mm,10,1,10,10.0,1.0,10,2.0,2
M252 81mm,10,2,4,10.0,1.0,5,4.0,2
M252 81mm,10,2,8,10.0,1.0,5,4.0,2
M252 81mm,10,2,10,10.0,1.0,5,4.0,2
