designator,use,target,range_tiles,condition,battery_burn,valid,turn_based_activity
SOFLAM handheld,ACERM,tile/creature,500,line of sight every turn,5/10 s,yes,yes
SOFLAM handheld,ACERM,tile/creature,2000,line of sight every turn,5/10 s,yes,yes
SOFLAM handheld,ACERM,tile/creature,5900,line of sight every turn,5/10 s,yes,yes
SOFLAM handheld,ACERM,tile/creature,12000,line of sight every turn,5/10 s,yes,yes
SOFLAM mounted,ACERM,tile only,500,mountable support + LOS,5/10 s,yes,yes
SOFLAM mounted,ACERM,tile only,2000,mountable support + LOS,5/10 s,yes,yes
SOFLAM mounted,ACERM,tile only,5900,mountable support + LOS,5/10 s,yes,yes
SOFLAM mounted,ACERM,tile only,12000,mountable support + LOS,5/10 s,yes,yes
scout drone,OKSI mortar,tile only,500,scout feed visible tile,,yes,
scout drone,OKSI mortar,tile only,2000,scout feed visible tile,,yes,
scout drone,OKSI mortar,tile only,5900,scout feed visible tile,,yes,
scout drone,OKSI mortar,tile only,12000,scout feed visible tile,,yes,
baba yaga scout feed,OKSI mortar,tile only,500,scout feed visible tile,,yes,
baba yaga scout feed,OKSI mortar,tile only,2000,scout feed visible tile,,yes,
baba yaga scout feed,OKSI mortar,tile only,5900,scout feed visible tile,,yes,
baba yaga scout feed,OKSI mortar,tile only,12000,scout feed visible tile,,yes,
scout drone,other mortar,tile only,500,optional drone target,,yes,
scout drone,other mortar,tile only,2000,optional drone target,,yes,
scout drone,other mortar,tile only,5900,optional drone target,,yes,
scout drone,other mortar,tile only,12000,optional drone target,,yes,
baba yaga scout feed,payload drop,tile only,500,payload-ready bomber,,yes,
baba yaga scout feed,payload drop,tile only,2000,payload-ready bomber,,yes,
baba yaga scout feed,payload drop,tile only,5900,payload-ready bomber,,yes,
baba yaga scout feed,payload drop,tile only,12000,payload-ready bomber,,yes,
scout drone,FPV attack,fixed point,500,optional fixed target,,yes,
scout drone,FPV attack,fixed point,2000,optional fixed target,,yes,
scout drone,FPV attack,fixed point,5900,optional fixed target,,yes,
scout drone,FPV attack,fixed point,12000,optional fixed target,,yes,
no live designator,guided mortar,none,500,falls back unguided / invalid OKSI,,no,
no live designator,guided mortar,none,2000,falls back unguided / invalid OKSI,,no,
no live designator,guided mortar,none,5900,falls back unguided / invalid OKSI,,no,
no live designator,guided mortar,none,12000,falls back unguided / invalid OKSI,,no,
