profile,range_m,sensor_multiplier,rangefinder_axis,eplrs,drone,location_cep_p6,location_cep_p8,repeat_location_multiplier,notes
plain spotter,500,1.0,no,no,no,345.0,285.0,0.5,
plain spotter,1500,1.0,no,no,no,345.0,285.0,0.5,
plain spotter,2500,1.0,no,no,no,345.0,285.0,0.5,
plain spotter,5900,1.0,no,no,no,345.0,285.0,0.5,
binoculars/zoom,500,1.5,no,no,no,230.0,190.0,0.5,
binoculars/zoom,1500,1.5,no,no,no,230.0,190.0,0.5,
binoculars/zoom,2500,1.5,no,no,no,230.0,190.0,0.5,
binoculars/zoom,5900,1.5,no,no,no,230.0,190.0,0.5,
laser rangefinder,500,1.8,yes,no,no,191.66666666666666,158.33333333333334,0.35,
laser rangefinder,1500,1.8,yes,no,no,191.66666666666666,158.33333333333334,0.35,
laser rangefinder,2500,1.5,no,no,no,230.0,190.0,0.5,
laser rangefinder,5900,1.5,no,no,no,230.0,190.0,0.5,
SOFLAM rangefinder,500,1.8,yes,no,no,191.66666666666666,158.33333333333334,0.35,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM rangefinder,1500,1.8,yes,no,no,191.66666666666666,158.33333333333334,0.35,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM rangefinder,2500,1.5,no,no,no,230.0,190.0,0.5,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM rangefinder,5900,1.5,no,no,no,230.0,190.0,0.5,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM active designation,500,1.8,yes,no,no,191.66666666666666,158.33333333333334,0.35,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM active designation,1500,1.8,yes,no,no,191.66666666666666,158.33333333333334,0.35,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM active designation,2500,1.5,no,no,no,230.0,190.0,0.5,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM active designation,5900,1.5,no,no,no,230.0,190.0,0.5,SOFLAM burns 5 medium battery charges / 10 s while designating
EPLRS net,500,1.0,no,yes,no,345.0,285.0,0.15,
EPLRS net,1500,1.0,no,yes,no,345.0,285.0,0.15,
EPLRS net,2500,1.0,no,yes,no,345.0,285.0,0.15,
EPLRS net,5900,1.0,no,yes,no,345.0,285.0,0.15,
rangefinder + EPLRS,500,1.8,yes,yes,no,191.66666666666666,158.33333333333334,0.105,
rangefinder + EPLRS,1500,1.8,yes,yes,no,191.66666666666666,158.33333333333334,0.105,
rangefinder + EPLRS,2500,1.5,no,yes,no,230.0,190.0,0.15,
rangefinder + EPLRS,5900,1.5,no,yes,no,230.0,190.0,0.15,
SOFLAM + EPLRS,500,1.8,yes,yes,no,191.66666666666666,158.33333333333334,0.105,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM + EPLRS,1500,1.8,yes,yes,no,191.66666666666666,158.33333333333334,0.105,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM + EPLRS,2500,1.5,no,yes,no,230.0,190.0,0.15,SOFLAM burns 5 medium battery charges / 10 s while designating
SOFLAM + EPLRS,5900,1.5,no,yes,no,230.0,190.0,0.15,SOFLAM burns 5 medium battery charges / 10 s while designating
scout/bomber drone spotter,500,1.6,no,no,yes,215.625,178.125,0.5,drone can designate fixed coordinates
scout/bomber drone spotter,1500,1.6,no,no,yes,215.625,178.125,0.5,drone can designate fixed coordinates
scout/bomber drone spotter,2500,1.6,no,no,yes,215.625,178.125,0.5,drone can designate fixed coordinates
scout/bomber drone spotter,5900,1.6,no,no,yes,215.625,178.125,0.5,drone can designate fixed coordinates
drone spotter + EPLRS net,500,1.6,no,yes,yes,215.625,178.125,0.15,drone can designate fixed coordinates
drone spotter + EPLRS net,1500,1.6,no,yes,yes,215.625,178.125,0.15,drone can designate fixed coordinates
drone spotter + EPLRS net,2500,1.6,no,yes,yes,215.625,178.125,0.15,drone can designate fixed coordinates
drone spotter + EPLRS net,5900,1.6,no,yes,yes,215.625,178.125,0.15,drone can designate fixed coordinates
full gucci: player sensors/RF/EPLRS + drone,500,3.78,yes,yes,yes,91.26984126984128,75.3968253968254,0.105,
full gucci: player sensors/RF/EPLRS + drone,1500,3.78,yes,yes,yes,91.26984126984128,75.3968253968254,0.105,
full gucci: player sensors/RF/EPLRS + drone,2500,1.5,no,yes,yes,230.0,190.0,0.15,
full gucci: player sensors/RF/EPLRS + drone,5900,1.5,no,yes,yes,230.0,190.0,0.15,
