mortar,round,guidance,range_tiles,max_range_tiles,in_range,expected_flight_s,single_gunner_fire_delay_s,max_crew_fire_delay_s,requirement
M224 60mm,M720A1 60mm HE,unguided,100,3500,yes,15.0,10,3,none
M224 60mm,M720A1 60mm HE,unguided,500,3500,yes,15.0,10,3,none
M224 60mm,M720A1 60mm HE,unguided,1000,3500,yes,20.0,10,3,none
M224 60mm,M720A1 60mm HE,unguided,3500,3500,yes,42.5,10,3,none
M224 60mm,M720A1 60mm HE,unguided,5900,3500,no,,10,3,none
M224 60mm,M720A1 60mm HE,unguided,10000,3500,no,,10,3,none
M224 60mm,M720A1 60mm HE,unguided,15000,3500,no,,10,3,none
M224 60mm,M720A1 60mm HE,unguided,20000,3500,no,,10,3,none
M224 60mm,M768 60mm HE,unguided,100,3500,yes,15.0,10,3,none
M224 60mm,M768 60mm HE,unguided,500,3500,yes,15.0,10,3,none
M224 60mm,M768 60mm HE,unguided,1000,3500,yes,20.0,10,3,none
M224 60mm,M768 60mm HE,unguided,3500,3500,yes,42.5,10,3,none
M224 60mm,M768 60mm HE,unguided,5900,3500,no,,10,3,none
M224 60mm,M768 60mm HE,unguided,10000,3500,no,,10,3,none
M224 60mm,M768 60mm HE,unguided,15000,3500,no,,10,3,none
M224 60mm,M768 60mm HE,unguided,20000,3500,no,,10,3,none
M252 81mm,M821A2 81mm HE,unguided,100,5900,yes,19.475259030003023,20,1,none
M252 81mm,M821A2 81mm HE,unguided,500,5900,yes,19.475259030003023,20,1,none
M252 81mm,M821A2 81mm HE,unguided,1000,5900,yes,20.773609632003225,20,1,none
M252 81mm,M821A2 81mm HE,unguided,3500,5900,yes,43.494745167006755,20,1,none
M252 81mm,M821A2 81mm HE,unguided,5900,5900,yes,55.17990058500857,20,1,none
M252 81mm,M821A2 81mm HE,unguided,10000,5900,no,,20,1,none
M252 81mm,M821A2 81mm HE,unguided,15000,5900,no,,20,1,none
M252 81mm,M821A2 81mm HE,unguided,20000,5900,no,,20,1,none
M252 81mm,M889A1 81mm HE,unguided,100,5900,yes,19.475259030003023,20,1,none
M252 81mm,M889A1 81mm HE,unguided,500,5900,yes,19.475259030003023,20,1,none
M252 81mm,M889A1 81mm HE,unguided,1000,5900,yes,20.773609632003225,20,1,none
M252 81mm,M889A1 81mm HE,unguided,3500,5900,yes,43.494745167006755,20,1,none
M252 81mm,M889A1 81mm HE,unguided,5900,5900,yes,55.17990058500857,20,1,none
M252 81mm,M889A1 81mm HE,unguided,10000,5900,no,,20,1,none
M252 81mm,M889A1 81mm HE,unguided,15000,5900,no,,20,1,none
M252 81mm,M889A1 81mm HE,unguided,20000,5900,no,,20,1,none
M252 81mm,OKSI M821A2 81mm HE,oksi,100,5900,yes,19.475259030003023,20,1,active drone fixed-point designation
