round,range_m,scenario,requirement,crew,effective_skill,designation_success_pct,base_range_m,base_deflection_m,expected_guided_range_m,expected_guided_deflection_m,range_reduction_pct,deflection_reduction_pct
ACERM 81mm HE,100,no designation,active successful SOFLAM laser designation,0,4.0,0.0,298.5,294.0,298.5,294.0,0.0,0.0
ACERM 81mm HE,100,SOFLAM tile,active successful SOFLAM laser designation,0,4.0,100.0,92.66666666666667,167.33333333333334,18.533333333333335,53.66666666666667,80.0,67.92828685258965
ACERM 81mm HE,100,SOFLAM slow mover,active successful SOFLAM laser designation,0,4.0,100.0,92.66666666666667,167.33333333333334,18.533333333333335,53.66666666666667,80.0,67.92828685258965
ACERM 81mm HE,100,SOFLAM fast mover,active successful SOFLAM laser designation,0,4.0,100.0,92.66666666666667,167.33333333333334,18.533333333333335,53.66666666666667,80.0,67.92828685258965
ACERM 81mm HE,100,no designation,active successful SOFLAM laser designation,1,5.04618667906767,0.0,296.9307199813985,292.95381332093234,296.9307199813985,292.95381332093234,0.0,0.0
ACERM 81mm HE,100,SOFLAM tile,active successful SOFLAM laser designation,1,5.04618667906767,100.0,91.09738664806517,166.28714665426568,18.219477329613035,53.14357332713284,80.0,68.0410817093243
ACERM 81mm HE,100,SOFLAM slow mover,active successful SOFLAM laser designation,1,5.04618667906767,100.0,91.09738664806517,166.28714665426568,18.219477329613035,53.14357332713284,80.0,68.0410817093243
ACERM 81mm HE,100,SOFLAM fast mover,active successful SOFLAM laser designation,1,5.04618667906767,100.0,91.09738664806517,166.28714665426568,18.219477329613035,53.14357332713284,80.0,68.0410817093243
ACERM 81mm HE,100,no designation,active successful SOFLAM laser designation,2,5.9099915397570575,0.0,295.6350126903644,292.0900084602429,295.6350126903644,292.0900084602429,0.0,0.0
ACERM 81mm HE,100,SOFLAM tile,active successful SOFLAM laser designation,2,5.9099915397570575,100.0,89.80167935703108,165.4233417935763,17.960335871406215,52.71167089678815,80.0,68.1352883303709
ACERM 81mm HE,100,SOFLAM slow mover,active successful SOFLAM laser designation,2,5.9099915397570575,100.0,89.80167935703108,165.4233417935763,17.960335871406215,52.71167089678815,80.0,68.1352883303709
ACERM 81mm HE,100,SOFLAM fast mover,active successful SOFLAM laser designation,2,5.9099915397570575,100.0,89.80167935703108,165.4233417935763,17.960335871406215,52.71167089678815,80.0,68.1352883303709
ACERM 81mm HE,100,no designation,active successful SOFLAM laser designation,0,8.0,0.0,292.5,290.0,292.5,290.0,0.0,0.0
