scenario,mortar,round,range_tiles,primary_skill,perception,crew,effective_skill,fire_delay_s,flight_time_s,profile,base_range_tiles,base_deflection_tiles,final_range_tiles,final_deflection_tiles
60mm baseline,M224 60mm,M720A1 60mm HE,1000,4,6,0,4.0,10,20.0,plain spotter,600,600,600,600
60mm baseline,M224 60mm,M720A1 60mm HE,1000,4,8,0,4.0,10,20.0,plain spotter,600,600,600,600
60mm baseline,M224 60mm,M720A1 60mm HE,1000,4,10,0,4.0,10,20.0,plain spotter,600,300,600,300
60mm baseline,M224 60mm,M720A1 60mm HE,1000,8,6,0,8.0,10,20.0,plain spotter,600,600,600,600
60mm baseline,M224 60mm,M720A1 60mm HE,1000,8,8,0,8.0,10,20.0,plain spotter,600,300,600,300
60mm baseline,M224 60mm,M720A1 60mm HE,1000,8,10,0,8.0,10,20.0,plain spotter,300,300,300,300
60mm baseline,M224 60mm,M720A1 60mm HE,1000,10,6,0,10.0,10,20.0,plain spotter,600,600,600,600
60mm baseline,M224 60mm,M720A1 60mm HE,1000,10,8,0,10.0,10,20.0,plain spotter,600,300,600,300
60mm baseline,M224 60mm,M720A1 60mm HE,1000,10,10,0,10.0,10,20.0,plain spotter,300,300,300,300
60mm assistant,M224 60mm,M768 60mm HE,2000,4,6,1,5.04618667906767,3,32.5,laser rangefinder,600,300,600,300
60mm assistant,M224 60mm,M768 60mm HE,2000,4,8,1,5.04618667906767,3,32.5,laser rangefinder,600,200,600,200
60mm assistant,M224 60mm,M768 60mm HE,2000,4,10,1,5.04618667906767,3,32.5,laser rangefinder,600,200,600,200
60mm assistant,M224 60mm,M768 60mm HE,2000,8,6,1,9.2951600308978,3,32.5,laser rangefinder,300,300,300,300
60mm assistant,M224 60mm,M768 60mm HE,2000,8,8,1,9.2951600308978,3,32.5,laser rangefinder,200,200,200,200
60mm assistant,M224 60mm,M768 60mm HE,2000,8,10,1,9.2951600308978,3,32.5,laser rangefinder,200,150,200,150
60mm assistant,M224 60mm,M768 60mm HE,2000,10,6,1,10.0,3,32.5,laser rangefinder,200,300,200,300
60mm assistant,M224 60mm,M768 60mm HE,2000,10,8,1,10.0,3,32.5,laser rangefinder,200,200,200,200
60mm assistant,M224 60mm,M768 60mm HE,2000,10,10,1,10.0,3,32.5,laser rangefinder,200,150,200,150
81mm baseline,M252 81mm,M821A2 81mm HE,3000,4,6,0,4.0,20,38.95051806000605,plain spotter,900,900,900,900
81mm baseline,M252 81mm,M821A2 81mm HE,3000,4,8,0,4.0,20,38.95051806000605,plain spotter,900,600,900,600
81mm baseline,M252 81mm,M821A2 81mm HE,3000,4,10,0,4.0,20,38.95051806000605,plain spotter,900,600,900,600
81mm baseline,M252 81mm,M821A2 81mm HE,3000,8,6,0,8.0,20,38.95051806000605,plain spotter,600,600,600,600
81mm baseline,M252 81mm,M821A2 81mm HE,3000,8,8,0,8.0,20,38.95051806000605,plain spotter,600,600,600,600
