mortar,round,range_m,crew,profile,shot_index,total_range_m,total_deflection_m,player_offset_x_m,creep_offset_x_m,creep_offset_y_m,creep_distance_m,heading_degrees,danger_close,offset_multiplier
M224 60mm,M720A1 60mm HE,500,0,plain spotter,1,213.40560000000002,198.28608,-100.0,427,0,427.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,SOFLAM rangefinder,1,51.01374814814815,78.19837629629629,-100.0,77,0,77.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,0,scout/bomber drone spotter,1,127.250521875,115.426501875,-100.0,255,0,255.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,plain spotter,1,173.4324,159.96232,-100.0,347,0,347.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,SOFLAM rangefinder,1,40.09823333333334,62.83198666666667,-100.0,40,0,40.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,scout/bomber drone spotter,1,102.76341562499998,93.68733562499999,-100.0,206,0,206.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,211.42868181138863,198.02249090818515,-100.0,423,0,423.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,48.70537796880612,77.89059360571736,-100.0,49,0,49.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,125.00429894391998,115.12700548418933,-100.0,250,0,250.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,171.3206913351582,159.68075884468777,-100.0,343,0,343.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,100.29263397019993,93.35789807102664,-100.0,201,0,201.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,210.69046227036668,197.9240616360489,-100.0,421,0,421.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,48.20632242595542,77.8240528666706,-100.0,48,0,48.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,124.46040015141216,115.0544856451883,-100.0,249,0,249.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,170.6797318200592,159.5952975760079,-100.0,341,0,341.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,99.91076878645316,93.30698271319375,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,210.69046227036668,197.9240616360489,-100.0,421,0,421.0,90,True,2.0
